NOACTIVITY	964.820000	965.840000
Male	965.840000	969.400000
Music	969.420000	972.880000
Male	972.880000	980.060000
Music	980.080000	984.840000
Female	984.840000	986.740000
Music	986.760000	1017.420000
Male	1017.420000	1021.120000
Music	1021.140000	1066.640000
NOACTIVITY	1066.660000	1071.740000
Male	1071.740000	1072.840000
NOACTIVITY	1072.880000	1078.420000
Music	1078.420000	1080.200000
NOACTIVITY	1080.220000	1081.660000
Male	1081.660000	1083.900000
NOACTIVITY	1083.940000	1087.400000
Music	1087.400000	1090.160000
NOACTIVITY	1090.180000	1093.020000
Music	1093.020000	1097.380000
NOACTIVITY	1097.400000	1098.340000
Music	1098.340000	1106.240000
NOACTIVITY	1106.260000	1107.880000
Music	1107.880000	1109.140000
NOACTIVITY	1109.160000	1110.120000
Music	1110.120000	1113.040000
NOACTIVITY	1113.060000	1114.680000
Music	1114.680000	1118.820000
NOACTIVITY	1118.840000	1119.560000
Music	1119.560000	1119.860000
NOACTIVITY	1119.880000	1122.240000
Music	1122.240000	1122.560000
NOACTIVITY	1122.580000	1123.480000
Music	1123.480000	1149.800000
NOACTIVITY	1149.820000	1150.340000
Music	1150.340000	1188.140000
Male	1188.140000	1194.760000
Music	1194.780000	1213.700000
Male	1213.700000	1224.540000
NOACTIVITY	1224.580000	1225.760000
Music	1225.760000	1236.840000
Male	1236.840000	1241.160000
NOACTIVITY	1241.200000	1244.280000
Music	1244.280000	1254.380000
NOACTIVITY	1254.400000	1260.060000
Female	1260.060000	1260.700000
NOACTIVITY	1260.740000	1261.500000
Female	1261.500000	1263.800000
Male	1263.800000	1267.420000
Female	1267.420000	1269.720000
Music	1269.740000	1277.620000
Female	1277.620000	1278.880000
Male	1278.880000	1287.700000
Female	1287.700000	1289.460000
Music	1289.480000	1302.400000
Male	1302.400000	1306.440000
Female	1306.440000	1307.720000
Music	1307.740000	1322.980000
Male	1322.980000	1326.020000
Female	1326.020000	1328.500000
NOACTIVITY	1328.540000	1329.020000
Music	1329.020000	1331.260000
Female	1331.260000	1336.360000
Music	1336.380000	1338.740000
Male	1338.740000	1342.260000
Female	1342.260000	1345.440000
Music	1345.460000	1351.100000
NOACTIVITY	1351.120000	1351.660000
Music	1351.660000	1354.180000
NOACTIVITY	1354.200000	1354.960000
Music	1354.960000	1358.760000
NOACTIVITY	1358.780000	1359.480000
Music	1359.480000	1364.840000
NOACTIVITY	1364.860000	1365.700000
Music	1365.700000	1439.400000
Male	1439.400000	1451.960000
Music	1451.980000	1480.720000
NOACTIVITY	1480.740000	1481.260000
Female	1481.260000	1483.160000
Male	1483.160000	1485.720000
Female	1485.720000	1487.580000
Male	1487.580000	1489.600000
Female	1489.600000	1493.380000
NOACTIVITY	1493.420000	1494.060000
Female	1494.060000	1495.560000
NOACTIVITY	1495.600000	1496.200000
Female	1496.200000	1496.860000
Male	1496.860000	1498.600000
Female	1498.600000	1504.300000
Male	1504.300000	1506.000000
Female	1506.000000	1508.200000
Male	1508.200000	1511.460000
Female	1511.460000	1533.620000
Male	1533.620000	1539.000000
Female	1539.000000	1541.800000
NOACTIVITY	1541.840000	1542.740000
Male	1542.740000	1552.340000
Music	1552.360000	1571.880000
Female	1571.880000	1573.180000
Male	1573.180000	1591.220000
Female	1591.220000	1592.980000
Male	1592.980000	1598.380000
Music	1598.400000	1612.800000
Female	1612.800000	1613.900000
Male	1613.900000	1627.620000
NOACTIVITY	1627.660000	1628.060000
Music	1628.060000	1628.440000
NOACTIVITY	1628.460000	1629.420000
Female	1629.420000	1631.420000
Male	1631.420000	1635.860000
Music	1635.880000	1661.160000
Male	1661.160000	1665.520000
Music	1665.540000	1667.580000
Male	1667.580000	1682.560000
Female	1682.560000	1684.740000
Male	1684.740000	1704.120000
Music	1704.140000	1776.760000
Male	1776.760000	1780.100000
Female	1780.100000	1787.340000
Music	1787.360000	1799.040000
Male	1799.040000	1801.820000
Music	1801.840000	1817.980000
Female	1817.980000	1820.060000
NOACTIVITY	1820.100000	1821.800000
Female	1821.800000	1822.660000
NOACTIVITY	1822.700000	1823.200000
Male	1823.200000	1830.980000
NOACTIVITY	1831.020000	1832.060000
Male	1832.060000	1837.100000
Music	1837.120000	1889.540000
Female	1889.540000	1894.520000
NOACTIVITY	1894.560000	1895.320000
Female	1895.320000	1897.200000
NOACTIVITY	1897.240000	1897.840000
Female	1897.840000	1899.320000
NOACTIVITY	1899.360000	1900.780000
Female	1900.780000	1902.220000
NOACTIVITY	1902.260000	1902.920000
Male	1902.920000	1903.220000
NOACTIVITY	1903.260000	1903.900000
Female	1903.900000	1904.520000
NOACTIVITY	1904.560000	1905.580000
Female	1905.580000	1907.000000
NOACTIVITY	1907.040000	1908.000000
Female	1908.000000	1913.020000
NOACTIVITY	1913.060000	1913.600000
Male	1913.600000	1914.020000
NOACTIVITY	1914.060000	1914.540000
Music	1914.540000	1916.580000
Female	1916.580000	1918.200000
NOACTIVITY	1918.240000	1919.100000
Female	1919.100000	1919.540000
NOACTIVITY	1919.580000	1923.860000
Female	1923.860000	1930.020000
NOACTIVITY	1930.060000	1930.620000
Female	1930.620000	1931.060000
NOACTIVITY	1931.100000	1931.640000
Female	1931.640000	1933.180000
NOACTIVITY	1933.220000	1935.440000
Female	1935.440000	1936.180000
NOACTIVITY	1936.220000	1942.860000
Music	1942.860000	1965.880000
Male	1965.880000	1969.620000
Female	1969.620000	1972.240000
Male	1972.240000	1974.440000
Female	1974.440000	1975.900000
Male	1975.900000	1980.300000
Music	1980.320000	1990.040000
Male	1990.040000	2005.100000
Female	2005.100000	2009.400000
Male	2009.400000	2011.620000
Music	2011.640000	2018.180000
Female	2018.180000	2020.100000
Male	2020.100000	2034.680000
Music	2034.700000	2044.520000
Male	2044.520000	2051.020000
Female	2051.020000	2055.220000
Male	2055.220000	2060.600000
Music	2060.620000	2072.520000
Female	2072.520000	2074.200000
Male	2074.200000	2077.800000
Female	2077.800000	2080.460000
Music	2080.480000	2091.400000
Female	2091.400000	2093.220000
Music	2093.240000	2120.460000
Male	2120.460000	2129.360000
Female	2129.360000	2131.620000
Male	2131.620000	2136.520000
Female	2136.520000	2139.060000
Male	2139.060000	2144.740000
Music	2144.760000	2195.500000
Female	2195.500000	2198.540000
Male	2198.540000	2202.160000
Female	2202.160000	2205.920000
Male	2205.920000	2211.180000
Female	2211.180000	2214.620000
Male	2214.620000	2225.380000
Female	2225.380000	2228.300000
Male	2228.300000	2235.760000
Music	2235.780000	2239.680000
Male	2239.680000	2244.760000
Music	2244.780000	2250.440000
Female	2250.440000	2252.020000
Male	2252.020000	2253.680000
Female	2253.680000	2255.800000
Music	2255.820000	2259.400000
Male	2259.400000	2266.600000
NOACTIVITY	2266.640000	2267.240000
Male	2267.240000	2271.640000
Music	2271.660000	2315.080000
Male	2315.080000	2341.760000
Music	2341.780000	2359.440000
Female	2359.440000	2361.140000
Music	2361.160000	2468.620000
Female	2468.620000	2473.860000
NOACTIVITY	2473.900000	2474.840000
Male	2474.840000	2475.620000
NOACTIVITY	2475.660000	2478.500000
Male	2478.500000	2479.580000
NOACTIVITY	2479.620000	2485.420000
Music	2485.420000	2491.920000
NOACTIVITY	2491.940000	2492.700000
Music	2492.700000	2493.620000
Female	2493.620000	2501.520000
Music	2501.540000	2504.760000
Male	2504.760000	2509.340000
Music	2509.360000	2552.080000
NOACTIVITY	2552.100000	2552.560000
Male	2552.560000	2559.540000
NOACTIVITY	2559.580000	2560.560000
Male	2560.560000	2564.360000
Female	2564.360000	2567.920000
Male	2567.920000	2573.840000
NOACTIVITY	2573.880000	2574.440000
Male	2574.440000	2581.260000
Female	2581.260000	2584.080000
NOACTIVITY	2584.120000	2584.820000
Male	2584.820000	2591.560000
NOACTIVITY	2591.600000	2593.080000
Female	2593.080000	2593.860000
NOACTIVITY	2593.900000	2594.840000
Male	2594.840000	2595.080000
NOACTIVITY	2595.120000	2596.680000
Female	2596.680000	2596.960000
NOACTIVITY	2597.000000	2597.840000
Male	2597.840000	2600.040000
NOACTIVITY	2600.080000	2601.060000
Male	2601.060000	2602.460000
NOACTIVITY	2602.500000	2603.340000
Male	2603.340000	2606.000000
NOACTIVITY	2606.040000	2608.920000
Female	2608.920000	2610.420000
NOACTIVITY	2610.460000	2611.740000
Female	2611.740000	2612.620000
NOACTIVITY	2612.660000	2620.540000
Male	2620.540000	2620.780000
NOACTIVITY	2620.820000	2621.280000
Male	2621.280000	2622.300000
NOACTIVITY	2622.340000	2623.220000
Male	2623.220000	2623.700000
NOACTIVITY	2623.740000	2624.880000
Male	2624.880000	2629.100000
NOACTIVITY	2629.140000	2629.800000
Female	2629.800000	2631.820000
Male	2631.820000	2633.400000
NOACTIVITY	2633.440000	2635.820000
Male	2635.820000	2647.700000
Female	2647.700000	2649.180000
Male	2649.180000	2653.340000
Music	2653.360000	2667.160000
Male	2667.160000	2671.180000
Music	2671.200000	2719.780000
NOACTIVITY	2719.800000	2721.040000
Male	2721.040000	2722.380000
NOACTIVITY	2722.420000	2722.900000
Male	2722.900000	2723.400000
NOACTIVITY	2723.440000	2724.540000
Male	2724.540000	2730.260000
NOACTIVITY	2730.300000	2730.920000
Male	2730.920000	2732.720000
Female	2732.720000	2736.320000
NOACTIVITY	2736.360000	2737.000000
Female	2737.000000	2738.960000
NOACTIVITY	2739.000000	2739.600000
Male	2739.600000	2743.320000
Female	2743.320000	2746.140000
NOACTIVITY	2746.180000	2747.960000
Male	2747.960000	2748.300000
NOACTIVITY	2748.340000	2749.000000
Male	2749.000000	2754.000000
NOACTIVITY	2754.040000	2758.560000
Female	2758.560000	2761.700000
Male	2761.700000	2762.320000
NOACTIVITY	2762.360000	2762.960000
Male	2762.960000	2764.280000
NOACTIVITY	2764.320000	2766.900000
Male	2766.900000	2773.880000
Female	2773.880000	2776.060000
NOACTIVITY	2776.100000	2776.520000
Female	2776.520000	2777.000000
NOACTIVITY	2777.040000	2777.580000
Female	2777.580000	2778.200000
NOACTIVITY	2778.240000	2779.840000
Female	2779.840000	2780.600000
NOACTIVITY	2780.640000	2781.200000
Female	2781.200000	2788.060000
NOACTIVITY	2788.100000	2790.180000
Female	2790.180000	2801.360000
NOACTIVITY	2801.400000	2802.600000
Female	2802.600000	2805.940000
NOACTIVITY	2805.980000	2806.520000
Female	2806.520000	2811.360000
NOACTIVITY	2811.400000	2812.520000
Female	2812.520000	2816.800000
NOACTIVITY	2816.840000	2817.240000
Female	2817.240000	2824.480000
NOACTIVITY	2824.520000	2825.100000
Female	2825.100000	2827.280000
NOACTIVITY	2827.320000	2827.880000
Female	2827.880000	2828.780000
NOACTIVITY	2828.820000	2829.680000
Female	2829.680000	2831.080000
NOACTIVITY	2831.120000	2831.660000
Female	2831.660000	2832.720000
NOACTIVITY	2832.760000	2834.120000
Male	2834.120000	2835.460000
NOACTIVITY	2835.500000	2836.640000
Female	2836.640000	2838.440000
